componentName,filePath,defaultExportName,propsType,usedByPages,usedByComponents,storyExists
default,src/app/layout.tsx,default,"{ children: React.ReactNode; }",[],[],false
ModuleDetail.container,src/app/modules/[moduleId]/ModuleDetail.container.tsx,,"{ moduleId: string; initial: any; }",[],[],false
default,src/app/modules/[moduleId]/ui-client-analytics.tsx,default,"{ moduleId: string; initial: AnalyticsData; }",["src/app/modules/[moduleId]/page.tsx"],[],false
user-boot,src/app/user-boot.tsx,,"",["src/app/layout.tsx"],[],false
task-group-list,src/app/week-view/task-group-list.tsx,,"{ tasks: TaskLite[]; }",["src/app/week-view/page.tsx","src/app/week-view/WeekView.container.tsx","src/app/week-view/WeekView.view.tsx"],[],false
WeekView.container,src/app/week-view/WeekView.container.tsx,,"{ userId?: string | undefined; date?: string | undefined; }",[],[],false
WeekView.view,src/app/week-view/WeekView.view.tsx,,"{ start: string | Date; end: string | Date; tasks: any[]; }",[],[],false
default,src/components/AddModuleForm.tsx,default,"Props",["src/app/import/page.tsx"],[],false
default,src/components/AssignmentRow.tsx,default,"import(\"C:/Users/TaPhysics/Downloads/Academic-OS30/src/components/AssignmentRow\").AssignmentRowProps",[],[],false
default,src/components/AssignmentsTable.tsx,default,"{ assignments: import(\"C:/Users/TaPhysics/Downloads/Academic-OS30/src/components/AssignmentsTable\").AssignmentForTable[]; moduleId: string; onAfterSave?: (() => void | Promise<void>) | undefined; }",["src/app/modules/[moduleId]/ModuleDetail.container.tsx","src/app/modules/[moduleId]/ui-client-analytics.tsx"],[],false
default,src/components/ModuleCard.tsx,default,"import(\"C:/Users/TaPhysics/Downloads/Academic-OS30/src/components/ModuleCard\").ModuleCardProps",["src/app/dashboard/page.tsx"],[],true
default,src/components/PerformanceGauge.tsx,default,"{ minutes: number; }",["src/app/week-view/page.tsx"],[],false
default,src/components/WeeklyTimelineItem.tsx,default,"import(\"C:/Users/TaPhysics/Downloads/Academic-OS30/src/components/WeeklyTimelineItem\").WeeklyTimelineItemProps",[],[],false
